,varname,long_name,code,table,units,model,outdatatype,dims,stream
PAST_2_NATL_ignored,,Cover fraction that could not be transfered from pastures to natural vegetation,124,181,-,jsbach,veg_mm,"['time', 'lat', 'lon']",jsbach_veg_mm
Box_harvest,,Prescribed harvest from natural vegetation for full gridbox,125,181,mol(C) m-2(gridbox) s-1,jsbach,veg_mm,"['time', 'lat', 'lon']",jsbach_veg_mm
Box_flux_harvest,,Total harvest flux from natural vegetation for full gridbox,126,181,mol(C) m-2(gridbox) s-1,jsbach,veg_mm,"['time', 'lat', 'lon']",jsbach_veg_mm
excess_NPP,,NPP that could not be not stored in vegetation carbon pools,130,181,mol(CO2) m-2(canopy) s-1,jsbach,veg_mm,"['time', 'lev', 'lat', 'lon']",jsbach_veg_mm
root_exudates,,root exudates,131,181,mol(C) m-2(canopy) s-1,jsbach,veg_mm,"['time', 'lev', 'lat', 'lon']",jsbach_veg_mm
Cflux_herbivory,,Cflux_herbivory,132,181,mol(C) m-2(canopy) s-1,jsbach,veg_mm,"['time', 'lev', 'lat', 'lon']",jsbach_veg_mm
Cflux_herbivory_LG,,Cflux_herbivory_LG,133,181,mol(C) m-2(canopy) s-1,jsbach,veg_mm,"['time', 'lev', 'lat', 'lon']",jsbach_veg_mm
Cflux_herbivory_2_atm,,Cflux_herbivory_2_atm,134,181,mol(C) m-2(canopy) s-1,jsbach,veg_mm,"['time', 'lev', 'lat', 'lon']",jsbach_veg_mm
box_root_exudates,,root exudates,135,181,mol(C) m-2(grid box) s-1,jsbach,veg_mm,"['time', 'lev', 'lat', 'lon']",jsbach_veg_mm
box_Cflux_herbivory,,Cflux_herbivory,136,181,mol(C) m-2(grid box) s-1,jsbach,veg_mm,"['time', 'lev', 'lat', 'lon']",jsbach_veg_mm
jsbachCconserv,,jsbach carbon conservation test: should be zero.,138,181,mol(CO2) m-2(grid box),jsbach,veg_mm,"['time', 'lat', 'lon']",jsbach_veg_mm
box_Cflux_herbivory_2_atm,,Carbon flux from herbivory to the atmsphere,143,181,mol(C) m-2(grid box) s-1,jsbach,veg_mm,"['time', 'lev', 'lat', 'lon']",jsbach_veg_mm
NPP_flux_correction,,Flux correction for NPP,157,181,mol(CO2) m-2(canopy) s-1,jsbach,veg_mm,"['time', 'lev', 'lat', 'lon']",jsbach_veg_mm
box_Cflx_2_crop_harvest,,Carbon flux from crops to crop harvest pool,158,181,mol(C) m-2(grid box) s-1,jsbach,veg_mm,"['time', 'lat', 'lon']",jsbach_veg_mm
boxC_green,,C-Pool for Green Parts of Vegetation,160,181,mol(C) m-2(grid box),jsbach,veg_mm,"['time', 'lev', 'lat', 'lon']",jsbach_veg_mm
boxC_woods,,C-Pool for Structural Material of Plants,161,181,mol(C) m-2(grid box),jsbach,veg_mm,"['time', 'lev', 'lat', 'lon']",jsbach_veg_mm
boxC_reserve,,"C-Pool for reserve carbohydrates (starches, sugars)",162,181,mol(C) m-2(grid box),jsbach,veg_mm,"['time', 'lev', 'lat', 'lon']",jsbach_veg_mm
LAI_yDayMean,,Mean Leaf Area Index of the Previous Day,165,181,,jsbach,veg_mm,"['time', 'lev', 'lat', 'lon']",jsbach_veg_mm
NPP_yDayMean,,Mean NPP Rate of the Previous Day,166,181,mol(CO2) m-2(canopy) s-1,jsbach,veg_mm,"['time', 'lev', 'lat', 'lon']",jsbach_veg_mm
topSoilTemp_yDayMean,,Previous Day Mean Temperature of the Uppermost Soil Layer,168,181,K,jsbach,veg_mm,"['time', 'lat', 'lon']",jsbach_veg_mm
alpha_yDayMean,,Previous Day Mean Value of the Water Stress Coefficient,169,181,,jsbach,veg_mm,"['time', 'lev', 'lat', 'lon']",jsbach_veg_mm
box_soil_respiration,,Soil respiration,170,181,mol(C) m-2(grid box) s-1,jsbach,veg_mm,"['time', 'lev', 'lat', 'lon']",jsbach_veg_mm
box_NPP_yDayMean,,Mean potential NPP of the Previous Day,171,181,mol(CO2) m-2(grid box) s-1,jsbach,veg_mm,"['time', 'lev', 'lat', 'lon']",jsbach_veg_mm
box_NPP_flux_correction,,Flux correction for NPP,172,181,mol(CO2) m-2(grid box) s-1,jsbach,veg_mm,"['time', 'lev', 'lat', 'lon']",jsbach_veg_mm
box_GPP_yDayMean,,Mean GPP Rate of the Previous Day,173,181,mol(CO2) m-2(grid box) s-1,jsbach,veg_mm,"['time', 'lev', 'lat', 'lon']",jsbach_veg_mm
box_litter_flux,,Total litter flux entering the soil pools,175,181,mol(CO2) m-2(grid box) s-1,jsbach,veg_mm,"['time', 'lev', 'lat', 'lon']",jsbach_veg_mm
box_Cpools_total,,Sum of carbon from all carbon pools,176,181,mol(CO2) m-2(grid box),jsbach,veg_mm,"['time', 'lat', 'lon']",jsbach_veg_mm
box_NPP_act_yDayMean,,Mean actual NPP the Previous Day,178,181,mol(CO2) m-2(grid box) s-1,jsbach,veg_mm,"['time', 'lev', 'lat', 'lon']",jsbach_veg_mm
growth_phase_SG,,Growth Phase of Summergreens,181,181,,jsbach,veg_mm,"['time', 'lat', 'lon']",jsbach_veg_mm
growth_phase_EG,,Growth Phase of Evergreens,182,181,,jsbach,veg_mm,"['time', 'lat', 'lon']",jsbach_veg_mm
previous_day_temp,,Air Temperature of the Previous Day,185,181,degC,jsbach,veg_mm,"['time', 'lat', 'lon']",jsbach_veg_mm
pseudo_soil_temp,,Pseudo Soil Temperature,186,181,degC,jsbach,veg_mm,"['time', 'lat', 'lon']",jsbach_veg_mm
heat_sum_EG,,Heat Sum - Evergreens,188,181,degC d,jsbach,veg_mm,"['time', 'lat', 'lon']",jsbach_veg_mm
heat_sum_SG,,Heat Sum - Summergreens,189,181,degC d,jsbach,veg_mm,"['time', 'lat', 'lon']",jsbach_veg_mm
chill_days_EG,,Number of Chill Days - Evergreens,190,181,,jsbach,veg_mm,"['time', 'lat', 'lon']",jsbach_veg_mm
chill_days_SG,,Number of Chill Days - Summergreens,191,181,,jsbach,veg_mm,"['time', 'lat', 'lon']",jsbach_veg_mm
growth_phase_CRP,,Growth Phase of extra-tropical crops,196,181,,jsbach,veg_mm,"['time', 'lat', 'lon']",jsbach_veg_mm
heat_sum_CRP,,Heat Sum - Crops,197,181,degC d,jsbach,veg_mm,"['time', 'lat', 'lon']",jsbach_veg_mm
heat_sum_winter,,Heat Sum - Winter Crops,199,181,degC d,jsbach,veg_mm,"['time', 'lat', 'lon']",jsbach_veg_mm
previous_day_temp_min,,Minimum air Temp. of the Previous Day,205,181,degC,jsbach,veg_mm,"['time', 'lat', 'lon']",jsbach_veg_mm
previous_day_temp_max,,Maximum air Temp. of the Previous Day,206,181,degC,jsbach,veg_mm,"['time', 'lat', 'lon']",jsbach_veg_mm
NPP_act_yDayMean,,NPP_act_yDayMean,210,181,mol(CO2) m-2(canopy) s-1,jsbach,veg_mm,"['time', 'lev', 'lat', 'lon']",jsbach_veg_mm
box_Cflx_crop_harvest_2_atm,,Carbon flux from crop harvest pool to the atmsphere,211,181,mol(C) m-2(grid box) s-1,jsbach,veg_mm,"['time', 'lat', 'lon']",jsbach_veg_mm
redFact_Nlimitation,,redFact_Nlimitation,212,181,dimensionless),jsbach,veg_mm,"['time', 'lev', 'lat', 'lon']",jsbach_veg_mm
boxC_onSite_LCC,,Carbon left on ground from land use change,218,181,mol(C) m-2(grid box),jsbach,veg_mm,"['time', 'lat', 'lon']",jsbach_veg_mm
boxC_paper_LCC,,Wood carbon in short/intermediate term anthropogenic pool from land use change,220,181,mol(C) m-2(grid_box),jsbach,veg_mm,"['time', 'lat', 'lon']",jsbach_veg_mm
boxC_construction_LCC,,Wood carbon in long term anthropogenic pool from land use change,221,181,mol(C) m-2(grid box),jsbach,veg_mm,"['time', 'lat', 'lon']",jsbach_veg_mm
boxC_paper_harvest,,Wood carbon in short/intermediate term anthropogenic pool from harvest,222,181,mol(C) m-2(grid box),jsbach,veg_mm,"['time', 'lat', 'lon']",jsbach_veg_mm
boxC_construction_harvest,,Wood carbon in long term anthropogenic pool from harvest,223,181,mol(C) m-2(grid box),jsbach,veg_mm,"['time', 'lat', 'lon']",jsbach_veg_mm
boxC_onSite_harvest,,Carbon left on ground from harvest,224,181,mol(C)m-2(grid box),jsbach,veg_mm,"['time', 'lat', 'lon']",jsbach_veg_mm
boxC_crop_harvest,,C-Pool for material harvested from crops,225,181,mol(C) m-2(grid box),jsbach,veg_mm,"['time', 'lev', 'lat', 'lon']",jsbach_veg_mm
boxC_flux_2_onSite_LCC,,Carbon flux from living plants to ground pool from land use change,228,181,mol(C) m-2(grid box) s-1,jsbach,veg_mm,"['time', 'lat', 'lon']",jsbach_veg_mm
boxC_flux_2_paper_LCC,,Wood carbon flux from living plants to short/intermediate term anthropogenic pool from land use change,230,181,mol(C) m-2(grid box) s-1,jsbach,veg_mm,"['time', 'lat', 'lon']",jsbach_veg_mm
boxC_flux_2_construction_LCC,,Wood carbon flux from living plants to long term anthropogenic pool from land use change,231,181,mol(C) m-2(grid box) s-1,jsbach,veg_mm,"['time', 'lat', 'lon']",jsbach_veg_mm
boxC_flux_onSite_2_atmos_LCC,,Carbon flux from ground pool from land use change to atmos,236,181,mol(C) m-2(grid box) s-1,jsbach,veg_mm,"['time', 'lat', 'lon']",jsbach_veg_mm
boxC_flux_paper_2_atmos_LCC,,Carbon flux from short/intermediate term anthropogenic pool from land use change to atmos,238,181,mol(C) m-2(grid box) s-1,jsbach,veg_mm,"['time', 'lat', 'lon']",jsbach_veg_mm
boxC_flux_construction_2_atmos_LCC,,Carbon flux from long term anthropogenic pool from land use change to atmos,239,181,mol(C) m-2(grid box) s-1,jsbach,veg_mm,"['time', 'lat', 'lon']",jsbach_veg_mm
boxC_flux_2_paper_harvest,,Wood carbon flux from living plants to intermediate term anthropogenic pool from harvest,242,181,mol(C) m-2(grid box) s-1,jsbach,veg_mm,"['time', 'lat', 'lon']",jsbach_veg_mm
boxC_flux_2_construction_harvest,,Wood carbon flux from living plants to long term anthropogenic pool from harvest,243,181,mol(C) m-2(grid box) s-1,jsbach,veg_mm,"['time', 'lat', 'lon']",jsbach_veg_mm
boxC_flux_paper_2_atmos_harvest,,Carbon flux intermediate term anthropogenic pool from harvest to atmos,246,181,mol(C) m-2(grid box) s-1,jsbach,veg_mm,"['time', 'lat', 'lon']",jsbach_veg_mm
boxC_flux_construction_2_atmos_harvest,,Carbon flux from long term anthropogenic pool from harvest to atmos,247,181,mol(C) m-2(grid box) s-1,jsbach,veg_mm,"['time', 'lat', 'lon']",jsbach_veg_mm
drainage_yDayMean,,Previous Day Mean drainage,248,181,Kg m-2 s-1,jsbach,veg_mm,"['time', 'lat', 'lon']",jsbach_veg_mm
boxC_flux_2_onSite_harvest,,Wood carbon flux from living plants to short term anthropogenic pool from harvest,249,181,mol(C)m-2(grid box)s-1,jsbach,veg_mm,"['time', 'lat', 'lon']",jsbach_veg_mm
boxC_flux_onsite_2_atmos_harvest,,Carbon flux short term anthropogenic pool from harvest to atmos,251,181,mol(C) m-2(grid box) s-1,jsbach,veg_mm,"['time', 'lat', 'lon']",jsbach_veg_mm
box_soil_respiration_pot,,Soil respiration without N limitation,254,181,mol(C) m-2(grid box) s-1,jsbach,veg_mm,"['time', 'lev', 'lat', 'lon']",jsbach_veg_mm
thetaoga,,Sea water potential temperature,515,,C,mpiom,monitoring_ym,"['time', 'depth', 'lat', 'lon']",mpiom_monitoring_ym
soga,,Sea water salinity,516,,1e-3,mpiom,monitoring_ym,"['time', 'depth', 'lat', 'lon']",mpiom_monitoring_ym
zossga,,Global average steric sea level change,518,,m,mpiom,monitoring_ym,"['time', 'depth', 'lat', 'lon']",mpiom_monitoring_ym
zosga,,Global average sea level change,519,,m,mpiom,monitoring_ym,"['time', 'depth', 'lat', 'lon']",mpiom_monitoring_ym
zostoga,,Global average thermosteric sea level change,520,,m,mpiom,monitoring_ym,"['time', 'depth', 'lat', 'lon']",mpiom_monitoring_ym
netwatertransport_bering_strait,,Ocean water transport across line bering strait,622,,kg s-1,mpiom,monitoring_ym,"['time', 'depth', 'lat', 'lon']",mpiom_monitoring_ym
netwatertransport_drake_passage,,Ocean water transport across line drake passage,652,,kg s-1,mpiom,monitoring_ym,"['time', 'depth', 'lat', 'lon']",mpiom_monitoring_ym
netwatertransport_equatorial_undercurrent,,Ocean water transport across line equatorial undercurrent,672,,kg s-1,mpiom,monitoring_ym,"['time', 'depth', 'lat', 'lon']",mpiom_monitoring_ym
simassacrossline_fram_strait,,Sea-ice-mass flux through straits fram strait,703,,kg s-1,mpiom,monitoring_ym,"['time', 'depth', 'lat', 'lon']",mpiom_monitoring_ym
netheattransport_atlantic_26n,,Ocean heat transport across line atlantic 26n,800,,W,mpiom,monitoring_ym,"['time', 'depth', 'lat', 'lon']",mpiom_monitoring_ym
eisab_arctic_ocean,,Sea ice extent in region arctic ocean,836,,m2,mpiom,monitoring_ym,"['time', 'depth', 'lat', 'lon']",mpiom_monitoring_ym
eiscb_arctic_ocean,,Sea ice volume in region arctic ocean,837,,m3,mpiom,monitoring_ym,"['time', 'depth', 'lat', 'lon']",mpiom_monitoring_ym
eisab_southern_ocean,,Sea ice extent in region southern ocean,900,,m2,mpiom,monitoring_ym,"['time', 'depth', 'lat', 'lon']",mpiom_monitoring_ym
eiscb_southern_ocean,,Sea ice volume in region southern ocean,901,,m3,mpiom,monitoring_ym,"['time', 'depth', 'lat', 'lon']",mpiom_monitoring_ym
tem_0m_tropical_pacific_ocean,,Sst in region tropical pacific ocean,936,,C,mpiom,monitoring_ym,"['time', 'depth', 'lat', 'lon']",mpiom_monitoring_ym
hflb_global_ocean,,Heat uptake in region global ocean,950,,W,mpiom,monitoring_ym,"['time', 'depth', 'lat', 'lon']",mpiom_monitoring_ym
wflb_global_ocean,,Freshwater uptake in region global ocean,951,,m3 s-1,mpiom,monitoring_ym,"['time', 'depth', 'lat', 'lon']",mpiom_monitoring_ym
tem_0m_global_ocean,,Sst in region global ocean,952,,C,mpiom,monitoring_ym,"['time', 'depth', 'lat', 'lon']",mpiom_monitoring_ym
salt_0m_global_ocean,,Sss in region global ocean,953,,psu,mpiom,monitoring_ym,"['time', 'depth', 'lat', 'lon']",mpiom_monitoring_ym
tem_200m_global_ocean,,Temperature 200m in region global ocean,955,,C,mpiom,monitoring_ym,"['time', 'depth', 'lat', 'lon']",mpiom_monitoring_ym
salt_200m_global_ocean,,Salinity 200m in region global ocean,956,,psu,mpiom,monitoring_ym,"['time', 'depth', 'lat', 'lon']",mpiom_monitoring_ym
tem_800m_global_ocean,,Temperature 800m in region global ocean,958,,C,mpiom,monitoring_ym,"['time', 'depth', 'lat', 'lon']",mpiom_monitoring_ym
salt_800m_global_ocean,,Salinity 800m in region global ocean,959,,psu,mpiom,monitoring_ym,"['time', 'depth', 'lat', 'lon']",mpiom_monitoring_ym
tem_2000m_global_ocean,,Temperature 2000m in region global ocean,961,,C,mpiom,monitoring_ym,"['time', 'depth', 'lat', 'lon']",mpiom_monitoring_ym
salt_2000m_global_ocean,,Salinity 2000m in region global ocean,962,,psu,mpiom,monitoring_ym,"['time', 'depth', 'lat', 'lon']",mpiom_monitoring_ym
amoc26n,,Atlantic moc at 26N in 1000m,1001,,Sv,mpiom,monitoring_ym,"['time', 'depth', 'lat', 'lon']",mpiom_monitoring_ym
lon_bnds,,,,,,mpiom,data_2d_mm,"['y', 'x', 'vertices']",mpiom_data_2d_mm
lat_bnds,,,,,,mpiom,data_2d_mm,"['y', 'x', 'vertices']",mpiom_data_2d_mm
lon_2_bnds,,,,,,mpiom,data_2d_mm,"['y_2', 'x_2', 'vertices']",mpiom_data_2d_mm
lat_2_bnds,,,,,,mpiom,data_2d_mm,"['y_2', 'x_2', 'vertices']",mpiom_data_2d_mm
lon_3_bnds,,,,,,mpiom,data_2d_mm,"['y_3', 'x_3', 'vertices']",mpiom_data_2d_mm
lat_3_bnds,,,,,,mpiom,data_2d_mm,"['y_3', 'x_3', 'vertices']",mpiom_data_2d_mm
zos,,Sea surface height above geoid,1,,m,mpiom,data_2d_mm,"['time', 'depth', 'y', 'x']",mpiom_data_2d_mm
zossq,,Square of sea surface height above geoid,11,,m2,mpiom,data_2d_mm,"['time', 'depth', 'y', 'x']",mpiom_data_2d_mm
tos,,Sea surface temperature,12,,C,mpiom,data_2d_mm,"['time', 'depth', 'y', 'x']",mpiom_data_2d_mm
sivol,,Sea ice volume per area,13,,m,mpiom,data_2d_mm,"['time', 'depth', 'y', 'x']",mpiom_data_2d_mm
tossq,,Square of sea surface temperature,14,,C2,mpiom,data_2d_mm,"['time', 'depth', 'y', 'x']",mpiom_data_2d_mm
siconc,,Sea ice area fraction,15,,1,mpiom,data_2d_mm,"['time', 'depth', 'y', 'x']",mpiom_data_2d_mm
sos,,Sea surface salinity,16,,1e-3,mpiom,data_2d_mm,"['time', 'depth', 'y', 'x']",mpiom_data_2d_mm
pbo,,Sea water pressure at sea floor,17,,Pa,mpiom,data_2d_mm,"['time', 'depth_2', 'y', 'x']",mpiom_data_2d_mm
tob,,Sea water potential temperature at sea flor,19,,C,mpiom,data_2d_mm,"['time', 'depth_2', 'y', 'x']",mpiom_data_2d_mm
sob,,Sea water potential salinity at sea flor,20,,1e-3,mpiom,data_2d_mm,"['time', 'depth_2', 'y', 'x']",mpiom_data_2d_mm
msftbarot,,Ocean barotropic mass streamfunction,27,,kg s-1,mpiom,data_2d_mm,"['time', 'depth', 'y', 'x']",mpiom_data_2d_mm
sicuo,,Sea ice x velocity,35,,m s-1,mpiom,data_2d_mm,"['time', 'depth', 'y_2', 'x_2']",mpiom_data_2d_mm
sicve,,Sea ice y velocity,36,,m s-1,mpiom,data_2d_mm,"['time', 'depth', 'y_3', 'x_3']",mpiom_data_2d_mm
wfocorr,,Water flux correction,66,,kg m-2 s-1,mpiom,data_2d_mm,"['time', 'depth_3', 'y', 'x']",mpiom_data_2d_mm
flum,,Surface net downward heat flux where sea,70,,W m-2,mpiom,data_2d_mm,"['time', 'depth', 'y', 'x']",mpiom_data_2d_mm
wfo,,Water flux into sea water,78,,kg m-2 s-1,mpiom,data_2d_mm,"['time', 'depth', 'y', 'x']",mpiom_data_2d_mm
pem,,Water flux into ocean,79,,m s-1,mpiom,data_2d_mm,"['time', 'depth', 'y', 'x']",mpiom_data_2d_mm
t14d,,14C isotherm depth,104,,m,mpiom,data_2d_mm,"['time', 'depth', 'y', 'x']",mpiom_data_2d_mm
t20d,,20C isotherm depth,109,,m,mpiom,data_2d_mm,"['time', 'depth', 'y', 'x']",mpiom_data_2d_mm
oxhtradv,,Ocean heat x transport due to advection,123,,W,mpiom,data_2d_mm,"['time', 'depth_3', 'y_2', 'x_2']",mpiom_data_2d_mm
oyhtradv,,Ocean heat y transport due to advection,124,,W,mpiom,data_2d_mm,"['time', 'depth_3', 'y_3', 'x_3']",mpiom_data_2d_mm
oxhtrdif,,Ocean heat x transport due to diffusion,125,,W,mpiom,data_2d_mm,"['time', 'depth_3', 'y_2', 'x_2']",mpiom_data_2d_mm
oyhtrdif,,Ocean heat y transport due to diffusion,126,,W,mpiom,data_2d_mm,"['time', 'depth_3', 'y_3', 'x_3']",mpiom_data_2d_mm
hfxba,,Ocean heat x transport due to bolus advection,127,,W,mpiom,data_2d_mm,"['time', 'depth_3', 'y_2', 'x_2']",mpiom_data_2d_mm
hfyba,,Ocean heat y transport due to bolus advection,128,,W,mpiom,data_2d_mm,"['time', 'depth_3', 'y_3', 'x_3']",mpiom_data_2d_mm
swsum,,Total penetrating fraction of solar flux,134,,frac,mpiom,data_2d_mm,"['time', 'depth', 'y', 'x']",mpiom_data_2d_mm
heatabs,,Total subsurface heating due to absorption,136,,J m-2,mpiom,data_2d_mm,"['time', 'depth', 'y', 'x']",mpiom_data_2d_mm
sidmasstranx,,Sea ice x transport,138,,kg s-1,mpiom,data_2d_mm,"['time', 'depth', 'y_2', 'x_2']",mpiom_data_2d_mm
sidmasstrany,,Sea ice y transport,139,,kg s-1,mpiom,data_2d_mm,"['time', 'depth', 'y_3', 'x_3']",mpiom_data_2d_mm
sossq,,Square of sea surface salinity,140,,(1e-3)2,mpiom,data_2d_mm,"['time', 'depth', 'y', 'x']",mpiom_data_2d_mm
sicsno,,Surface snow thickness where sea ice,141,,m,mpiom,data_2d_mm,"['time', 'depth', 'y', 'x']",mpiom_data_2d_mm
hfsithermds,,Heat flux into sea water due to sea ice thermodynamics,149,,W m-2,mpiom,data_2d_mm,"['time', 'depth', 'y', 'x']",mpiom_data_2d_mm
sfbrine,,Downward sea ice brine salt flux,150,,kg m-2 s-1,mpiom,data_2d_mm,"['time', 'depth', 'y', 'x']",mpiom_data_2d_mm
sfdsi,,Downward sea ice basal salt flux,151,,kg m-2 s-1,mpiom,data_2d_mm,"['time', 'depth', 'y', 'x']",mpiom_data_2d_mm
fsitherm,,Water flux into sea water due to sea ice thermodynamics,153,,kg m-2 s-1,mpiom,data_2d_mm,"['time', 'depth', 'y', 'x']",mpiom_data_2d_mm
wfonocorr,,Water flux into sea water without flux correction,165,,kg m-2 s-1,mpiom,data_2d_mm,"['time', 'depth', 'y', 'x']",mpiom_data_2d_mm
hfsnow,,Heat flux due to snow falling in the ocean,168,,W m-2,mpiom,data_2d_mm,"['time', 'depth', 'y', 'x']",mpiom_data_2d_mm
hfvolds,,Heat flux due to water flux in the ocean,169,,W m-2,mpiom,data_2d_mm,"['time', 'depth', 'y', 'x']",mpiom_data_2d_mm
hfds,,Surface downward heat flux in sea water,170,,W m-2,mpiom,data_2d_mm,"['time', 'depth', 'y', 'x']",mpiom_data_2d_mm
zmld_sqr,,Square of ocean mixed layer thickness defined by sigma t,181,,m2,mpiom,data_2d_mm,"['time', 'depth', 'y', 'x']",mpiom_data_2d_mm
zmld,,Ocean mixed layer thickness defined by sigma t,183,,m,mpiom,data_2d_mm,"['time', 'depth', 'y', 'x']",mpiom_data_2d_mm
aofltxwo,,Zonal wind stress on water,215,,N m-2,mpiom,data_2d_mm,"['time', 'depth', 'y_2', 'x_2']",mpiom_data_2d_mm
aofltywe,,Meridional wind stress on water,216,,N m-2,mpiom,data_2d_mm,"['time', 'depth', 'y_3', 'x_3']",mpiom_data_2d_mm
aofltxio,,Zonal wind stress on ice,217,,N m-2,mpiom,data_2d_mm,"['time', 'depth', 'y_2', 'x_2']",mpiom_data_2d_mm
aofltyie,,Meridional wind stress on ice,218,,N m-2,mpiom,data_2d_mm,"['time', 'depth', 'y_3', 'x_3']",mpiom_data_2d_mm
aoflfrwo,,Liquid freshwater flux,219,,m s-1,mpiom,data_2d_mm,"['time', 'depth', 'y', 'x']",mpiom_data_2d_mm
aoflfrio,,Solid freshwater flux over ice,220,,m s-1,mpiom,data_2d_mm,"['time', 'depth', 'y', 'x']",mpiom_data_2d_mm
aoflrhio,,Residual heat flux used to melt snow/ice,221,,W m-2,mpiom,data_2d_mm,"['time', 'depth', 'y', 'x']",mpiom_data_2d_mm
aoflnhwo,,Net heat flux over water,222,,W m-2,mpiom,data_2d_mm,"['time', 'depth', 'y', 'x']",mpiom_data_2d_mm
aoflshwo,,Downwelling solar radiation,223,,W m-2,mpiom,data_2d_mm,"['time', 'depth', 'y', 'x']",mpiom_data_2d_mm
aoflchio,,Conductive heat flux through ice,224,,W m-2,mpiom,data_2d_mm,"['time', 'depth', 'y', 'x']",mpiom_data_2d_mm
aoflwsvo,,10m wind velocity,225,,m s-1,mpiom,data_2d_mm,"['time', 'depth', 'y', 'x']",mpiom_data_2d_mm
strairx,,Zonal wind stress on ice,226,,N m-2,mpiom,data_2d_mm,"['time', 'depth', 'y_2', 'x_2']",mpiom_data_2d_mm
strairy,,Meridional wind stress on ice,227,,N m-2,mpiom,data_2d_mm,"['time', 'depth', 'y_3', 'x_3']",mpiom_data_2d_mm
strocx,,Zonal ice stress on ocean,228,,N m-2,mpiom,data_2d_mm,"['time', 'depth', 'y_2', 'x_2']",mpiom_data_2d_mm
strocy,,Meridional ice stress on ocean,229,,N m-2,mpiom,data_2d_mm,"['time', 'depth', 'y_3', 'x_3']",mpiom_data_2d_mm
mlotstsq,,Square of ocean mixed layer thickness defined by sigma t,275,,m2,mpiom,data_2d_mm,"['time', 'depth', 'y', 'x']",mpiom_data_2d_mm
mlotst,,Ocean mixed layer thickness defined by sigma t,276,,m,mpiom,data_2d_mm,"['time', 'depth', 'y', 'x']",mpiom_data_2d_mm
opottempmint,,Integral wrt depth of product of sea water density and potential temperature,277,,C kg m-2,mpiom,data_2d_mm,"['time', 'depth', 'y', 'x']",mpiom_data_2d_mm
somint,,Integral wrt depth of product of sea water density and prognostic salinity,278,,1e-3 kg m-2,mpiom,data_2d_mm,"['time', 'depth', 'y', 'x']",mpiom_data_2d_mm
thetaot,,Vertically Averaged Sea Water Potential Temperature,285,,K,mpiom,data_2d_mm,"['time', 'depth', 'y', 'x']",mpiom_data_2d_mm
thetaot300,,Depth average potential temperature of upper 300m,286,,K,mpiom,data_2d_mm,"['time', 'depth', 'y', 'x']",mpiom_data_2d_mm
thetaot700,,Depth average potential temperature of upper 700m,287,,K,mpiom,data_2d_mm,"['time', 'depth', 'y', 'x']",mpiom_data_2d_mm
thetaot2000,,Depth average potential temperature of upper 2000m,288,,K,mpiom,data_2d_mm,"['time', 'depth', 'y', 'x']",mpiom_data_2d_mm
tauuo,,Surface downward x stress,548,,N m-2,mpiom,data_2d_mm,"['time', 'depth', 'y_2', 'x_2']",mpiom_data_2d_mm
tauvo,,Surface downward y stress,549,,N m-2,mpiom,data_2d_mm,"['time', 'depth', 'y_3', 'x_3']",mpiom_data_2d_mm
rsntds,,Net downward shortwave flux at sea water surface,521,,W m-2,mpiom,data_2d_mm,"['time', 'depth', 'y', 'x']",mpiom_data_2d_mm
simass,,Sea ice mass per area,1013,,kg m-2,mpiom,data_2d_mm,"['time', 'depth', 'y', 'x']",mpiom_data_2d_mm
sisnconc,,Snow area fraction,1015,,,mpiom,data_2d_mm,"['time', 'depth', 'y', 'x']",mpiom_data_2d_mm
sitimefrac,,Sea ice time fraction,1016,,1.0,mpiom,data_2d_mm,"['time', 'depth', 'y', 'x']",mpiom_data_2d_mm
sisnmass,,Snow mass per area,1018,,kg m-2,mpiom,data_2d_mm,"['time', 'depth', 'y', 'x']",mpiom_data_2d_mm
sihc,,Sea-ice heat content per unit area,1019,,J m-2,mpiom,data_2d_mm,"['time', 'depth', 'y', 'x']",mpiom_data_2d_mm
sisnhc,,Snow-heat content per unit area,1020,,J m-2,mpiom,data_2d_mm,"['time', 'depth', 'y', 'x']",mpiom_data_2d_mm
sisaltmass,,Mass of salt in sea ice per area,1021,,kg m-2,mpiom,data_2d_mm,"['time', 'depth', 'y', 'x']",mpiom_data_2d_mm
siusic,,Product of sea ice x velocity and sea ice concentration,1022,,m s-1,mpiom,data_2d_mm,"['time', 'depth', 'y_2', 'x_2']",mpiom_data_2d_mm
sicu,,Sea ice concentration on u-point,1023,,1,mpiom,data_2d_mm,"['time', 'depth', 'y_2', 'x_2']",mpiom_data_2d_mm
sivsic,,Product of sea ice v velocity and sea ice concentration,1024,,m s-1,mpiom,data_2d_mm,"['time', 'depth', 'y_3', 'x_3']",mpiom_data_2d_mm
sicv,,Sea ice concentration on v-point,1025,,1,mpiom,data_2d_mm,"['time', 'depth', 'y_3', 'x_3']",mpiom_data_2d_mm
sispeedsic,,Product of sea ice velocity and sea ice concentration,1026,,m s-1,mpiom,data_2d_mm,"['time', 'depth', 'y', 'x']",mpiom_data_2d_mm
sistrxdtopsic,,Product of x-component of atmospheric stress on sea ice and sea ice concentration,1027,,N m-2,mpiom,data_2d_mm,"['time', 'depth', 'y_2', 'x_2']",mpiom_data_2d_mm
sistrydtopsic,,Product of y-component of atmospheric stress on sea ice and sea ice concentration,1028,,N m-2,mpiom,data_2d_mm,"['time', 'depth', 'y_2', 'x_2']",mpiom_data_2d_mm
